,Sorted Json formula,Site,Distance,Element
292,"{""A"": {""Ag"": 0.2, ""In"": 0.2, ""Pb"": 0.2, ""Sb"": 0.2, ""Sn"": 0.2}, ""B"": {""Te"": 1.0}}",A,0.2463025732880454,Ag
64,"{""A"": {""Ba"": 1.0}, ""B"": {""Hf"": 0.2, ""Nb"": 0.2, ""Sn"": 0.2, ""Ti"": 0.2, ""Zr"": 0.2}, ""C"": {""O"": 1.0}}",B,0.2461201177475364,Sn
65,"{""A"": {""Ba"": 0.5, ""Sr"": 0.5}, ""B"": {""Hf"": 0.2, ""Nb"": 0.2, ""Sn"": 0.2, ""Ti"": 0.2, ""Zr"": 0.2}, ""C"": {""O"": 1.0}}",B,0.2461201177475364,Sn
61,"{""A"": {""Sr"": 1.0}, ""B"": {""Hf"": 0.2, ""Nb"": 0.2, ""Sn"": 0.2, ""Ti"": 0.2, ""Zr"": 0.2}, ""C"": {""O"": 1.0}}",B,0.2461201177475364,Sn
716,"{""A"": {""Ba"": 0.5, ""Li"": 0.5}, ""B"": {""Hf"": 0.2, ""Nb"": 0.2, ""Sn"": 0.2, ""Ti"": 0.2, ""Zr"": 0.2}, ""C"": {""O"": 1.0}}",B,0.2461201177475364,Sn
69,"{""A"": {""Ba"": 0.3333, ""Bi"": 0.3333, ""Sr"": 0.3333}, ""B"": {""Fe"": 0.25, ""Hf"": 0.25, ""Ti"": 0.25, ""Zr"": 0.25}, ""C"": {""O"": 1.0}}",B,0.2442773705494996,Fe
137,"{""A"": {""Co"": 0.1667, ""Cu"": 0.1667, ""Mg"": 0.1667, ""Ni"": 0.1667, ""Sc"": 0.1667, ""Zn"": 0.1667}, ""B"": {""O"": 1.0}}",A,0.24381255610157027,Sc
74,"{""A"": {""Ba"": 0.2, ""Bi"": 0.2, ""Ca"": 0.2, ""K"": 0.2, ""Na"": 0.2}, ""B"": {""Ti"": 1.0}, ""C"": {""O"": 1.0}}",A,0.2427662497019224,Bi
83,"{""A"": {""Al"": 0.1667, ""Co"": 0.1667, ""Cr"": 0.1667, ""Fe"": 0.1667, ""Mn"": 0.1667, ""Ni"": 0.1667}, ""B"": {""O"": 1.0}}",A,0.24224458121830772,Al
470,"{""A"": {""La"": 1.0}, ""B"": {""Co"": 0.2, ""Cu"": 0.2, ""Fe"": 0.2, ""Ga"": 0.2, ""Mn"": 0.2}, ""C"": {""O"": 1.0}}",B,0.24217859299728595,Ga
700,"{""A"": {""Li"": 1.0}, ""B"": {""La"": 0.2, ""Nd"": 0.2, ""Sr"": 0.2, ""Ta"": 0.2, ""Zr"": 0.2}, ""C"": {""O"": 1.0}}",B,0.24117427354255516,Ta
293,"{""A"": {""Ag"": 0.2, ""Cd"": 0.2, ""In"": 0.2, ""Sb"": 0.2, ""Sn"": 0.2}, ""B"": {""Te"": 1.0}}",A,0.24029630841194072,Ag
123,"{""A"": {""Co"": 0.2, ""Ir"": 0.2, ""Pd"": 0.2, ""Pt"": 0.2, ""Rh"": 0.2}, ""B"": {""Te"": 1.0}}",A,0.24007088488509432,Co
78,"{""A"": {""Co"": 0.2, ""Cr"": 0.2, ""Fe"": 0.2, ""Mg"": 0.2, ""Mn"": 0.2}, ""B"": {""O"": 1.0}}",A,0.23889576468532292,Mg
363,"{""A"": {""Ca"": 0.2, ""Eu"": 0.2, ""La"": 0.2, ""Nd"": 0.2, ""Sm"": 0.2}, ""B"": {""Al"": 0.6, ""Co"": 0.4}, ""C"": {""O"": 1.0}}",A,0.23651703049789174,Ca
240,"{""A"": {""Cr"": 0.2, ""Hf"": 0.2, ""Ta"": 0.2, ""Ti"": 0.2, ""Zr"": 0.2}, ""B"": {""B"": 1.0}}",A,0.23577889791869056,Cr
205,"{""A"": {""Cr"": 0.2, ""Hf"": 0.2, ""Ta"": 0.2, ""Ti"": 0.2, ""Zr"": 0.2}, ""B"": {""N"": 0.92}}",A,0.23577889791869056,Cr
210,"{""A"": {""Cr"": 0.2, ""Hf"": 0.2, ""Ta"": 0.2, ""Ti"": 0.2, ""Zr"": 0.2}, ""B"": {""C"": 0.445, ""N"": 0.445}}",A,0.23577889791869056,Cr
518,"{""A"": {""Er"": 0.5, ""Y"": 0.5}, ""B"": {""Ce"": 0.2, ""Hf"": 0.2, ""Sn"": 0.2, ""Ti"": 0.2, ""Zr"": 0.2}, ""C"": {""O"": 1.0}}",B,0.23552194674619154,Sn
593,"{""A"": {""Gd"": 1.0}, ""B"": {""Ce"": 0.2, ""Hf"": 0.2, ""Sn"": 0.2, ""Ti"": 0.2, ""Zr"": 0.2}, ""C"": {""O"": 1.0}}",B,0.23552194674619154,Sn
537,"{""A"": {""Y"": 1.0}, ""B"": {""Ce"": 0.2, ""Hf"": 0.2, ""Sn"": 0.2, ""Ti"": 0.2, ""Zr"": 0.2}, ""C"": {""O"": 1.0}}",B,0.23552194674619154,Sn
62,"{""A"": {""Ba"": 1.0}, ""B"": {""Ce"": 0.2, ""Hf"": 0.2, ""Sn"": 0.2, ""Ti"": 0.2, ""Zr"": 0.2}, ""C"": {""O"": 1.0}}",B,0.23552194674619154,Sn
633,"{""A"": {""Yb"": 1.0}, ""B"": {""Ce"": 0.2, ""Hf"": 0.2, ""Sn"": 0.2, ""Ti"": 0.2, ""Zr"": 0.2}, ""C"": {""O"": 1.0}}",B,0.23552194674619154,Sn
454,"{""A"": {""Na"": 1.0}, ""B"": {""Co"": 0.1667, ""Cu"": 0.1667, ""Fe"": 0.1667, ""Mn"": 0.1667, ""Ni"": 0.1667, ""Ti"": 0.1667}, ""C"": {""O"": 1.0}}",B,0.2347267270368374,Ti
294,"{""A"": {""Ag"": 0.2, ""Bi"": 0.2, ""Cd"": 0.2, ""Pb"": 0.2, ""Sn"": 0.2}, ""B"": {""Te"": 1.0}}",A,0.23464467898150676,Ag
443,"{""A"": {""Na"": 1.0}, ""B"": {""Co"": 0.2, ""Fe"": 0.2, ""Mn"": 0.2, ""Ni"": 0.2, ""Ti"": 0.2}, ""C"": {""O"": 1.0}}",B,0.2323889141802309,Ti
412,"{""A"": {""Li"": 1.0}, ""B"": {""Co"": 0.2, ""Fe"": 0.2, ""Mn"": 0.2, ""Ni"": 0.2, ""Ti"": 0.2}, ""C"": {""O"": 1.0}}",B,0.2323889141802309,Ti
430,"{""A"": {""Na"": 1.0}, ""B"": {""Al"": 0.2, ""Co"": 0.2, ""Fe"": 0.2, ""Mn"": 0.2, ""Ni"": 0.2}, ""C"": {""O"": 1.0}}",B,0.23186817482628685,Al
414,"{""A"": {""Li"": 1.0}, ""B"": {""Al"": 0.2, ""Co"": 0.2, ""Fe"": 0.2, ""Mn"": 0.2, ""Ni"": 0.2}, ""C"": {""O"": 1.0}}",B,0.23186817482628685,Al
252,"{""A"": {""Cr"": 0.25, ""Hf"": 0.25, ""Ta"": 0.25, ""Zr"": 0.25}, ""B"": {""B"": 1.0}}",A,0.23087232983942674,Cr
72,"{""A"": {""Ba"": 0.2, ""Bi"": 0.2, ""Ca"": 0.2, ""Na"": 0.2, ""Sr"": 0.2}, ""B"": {""Ti"": 1.0}, ""C"": {""O"": 1.0}}",A,0.23055641343524902,Bi
396,"{""A"": {""Cr"": 0.1429, ""Hf"": 0.1429, ""Mo"": 0.1429, ""Nb"": 0.1429, ""Ti"": 0.1429, ""V"": 0.1429, ""W"": 0.1429}, ""B"": {""Al"": 1.0}, ""C"": {""C"": 1.0}}",A,0.22999782868250407,Hf
598,"{""A"": {""Eu"": 1.0}, ""B"": {""Nb"": 0.2, ""Ta"": 0.2, ""Y"": 0.2, ""Yb"": 0.2, ""Zr"": 0.2}, ""C"": {""O"": 1.0}}",B,0.22804441193998115,Yb
99,"{""A"": {""Gd"": 1.0}, ""B"": {""Hf"": 0.25, ""Sn"": 0.25, ""Ti"": 0.25, ""Zr"": 0.25}, ""C"": {""O"": 1.0}}",B,0.22789457674138636,Sn
107,"{""A"": {""Eu"": 0.3333, ""Gd"": 0.3333, ""Sm"": 0.3333}, ""B"": {""Hf"": 0.25, ""Sn"": 0.25, ""Ti"": 0.25, ""Zr"": 0.25}, ""C"": {""O"": 1.0}}",B,0.22789457674138636,Sn
98,"{""A"": {""Sm"": 1.0}, ""B"": {""Hf"": 0.25, ""Sn"": 0.25, ""Ti"": 0.25, ""Zr"": 0.25}, ""C"": {""O"": 1.0}}",B,0.22789457674138636,Sn
295,"{""A"": {""Ag"": 0.2, ""Bi"": 0.2, ""Cd"": 0.2, ""In"": 0.2, ""Pb"": 0.2}, ""B"": {""Te"": 1.0}}",A,0.2277546469769487,Ag
417,"{""A"": {""Li"": 1.0}, ""B"": {""Al"": 0.25, ""Co"": 0.25, ""Mn"": 0.25, ""Ni"": 0.25}, ""C"": {""O"": 1.0}}",B,0.22595796257106882,Al
209,"{""A"": {""Cr"": 0.2, ""Hf"": 0.2, ""Nb"": 0.2, ""Ti"": 0.2, ""Zr"": 0.2}, ""B"": {""C"": 0.45, ""N"": 0.45}}",A,0.22340294954511108,Cr
204,"{""A"": {""Cr"": 0.2, ""Hf"": 0.2, ""Nb"": 0.2, ""Ti"": 0.2, ""Zr"": 0.2}, ""B"": {""N"": 0.91}}",A,0.22340294954511108,Cr
650,"{""A"": {""Bi"": 0.5, ""Na"": 0.5}, ""B"": {""Fe"": 0.2, ""Hf"": 0.2, ""Nb"": 0.2, ""Sn"": 0.2, ""Ti"": 0.2}, ""C"": {""O"": 1.0}}",B,0.22335821383830146,Fe
400,"{""A"": {""Cr"": 0.125, ""Hf"": 0.125, ""Nb"": 0.125, ""Ta"": 0.125, ""Ti"": 0.125, ""V"": 0.125, ""W"": 0.125, ""Zr"": 0.125}, ""B"": {""Al"": 1.0}, ""C"": {""C"": 1.0}}",A,0.2230991633458288,Cr
20,"{""A"": {""Cr"": 0.125, ""Hf"": 0.125, ""Nb"": 0.125, ""Ta"": 0.125, ""Ti"": 0.125, ""V"": 0.125, ""W"": 0.125, ""Zr"": 0.125}, ""B"": {""C"": 1.0}}",A,0.2230991633458288,Cr
296,"{""A"": {""Ag"": 0.2, ""Bi"": 0.2, ""Cd"": 0.2, ""In"": 0.2, ""Sn"": 0.2}, ""B"": {""Te"": 1.0}}",A,0.2229881143647363,Ag
251,"{""A"": {""Cr"": 0.25, ""Hf"": 0.25, ""Ti"": 0.25, ""Zr"": 0.25}, ""B"": {""B"": 1.0}}",A,0.22140132627736064,Cr
307,"{""A"": {""Co"": 0.2, ""Fe"": 0.2, ""Ni"": 0.2, ""Ti"": 0.2, ""Zn"": 0.2}, ""B"": {""O"": 1.0}}",A,0.2211412404556321,Ti
126,"{""A"": {""Co"": 0.2, ""Fe"": 0.2, ""Mg"": 0.2, ""Mn"": 0.2, ""Ni"": 0.2}, ""B"": {""P"": 1.0}, ""C"": {""S"": 1.0}}",A,0.22004966569551543,Mg
344,"{""A"": {""K"": 1.0}, ""B"": {""Co"": 0.2, ""Fe"": 0.2, ""Mg"": 0.2, ""Mn"": 0.2, ""Ni"": 0.2}, ""C"": {""F"": 1.0}}",B,0.22004966569551543,Mg
403,"{""A"": {""Co"": 0.2, ""Fe"": 0.2, ""Mg"": 0.2, ""Mn"": 0.2, ""Ni"": 0.2}, ""B"": {""Fe"": 1.0}, ""C"": {""O"": 1.0}}",A,0.22004966569551543,Mg
601,"{""A"": {""Gd"": 0.5, ""La"": 0.5}, ""B"": {""Ce"": 0.2, ""Nb"": 0.2, ""Ta"": 0.2, ""Yb"": 0.2, ""Zr"": 0.2}, ""C"": {""O"": 1.0}}",B,0.22003070538562897,Yb
79,"{""A"": {""Cr"": 0.2, ""Fe"": 0.2, ""Mg"": 0.2, ""Mn"": 0.2, ""Ni"": 0.2}, ""B"": {""O"": 1.0}}",A,0.2190578567955065,Mg
140,"{""A"": {""Co"": 0.1667, ""Cu"": 0.1667, ""Mg"": 0.1667, ""Ni"": 0.1667, ""Sn"": 0.1667, ""Zn"": 0.1667}, ""B"": {""O"": 1.0}}",A,0.2185099663309099,Sn
279,"{""A"": {""Al"": 0.2, ""Co"": 0.2, ""Cr"": 0.2, ""Fe"": 0.2, ""Ni"": 0.2}, ""B"": {""S"": 1.0}}",A,0.21786614509921598,Al
203,"{""A"": {""Cr"": 0.2, ""Hf"": 0.2, ""Nb"": 0.2, ""Ta"": 0.2, ""Ti"": 0.2}, ""B"": {""N"": 0.9}}",A,0.21776349807550366,Cr
208,"{""A"": {""Cr"": 0.2, ""Hf"": 0.2, ""Nb"": 0.2, ""Ta"": 0.2, ""Ti"": 0.2}, ""B"": {""C"": 0.455, ""N"": 0.455}}",A,0.21776349807550366,Cr
402,"{""A"": {""Cr"": 0.1111, ""Hf"": 0.1111, ""Mo"": 0.1111, ""Nb"": 0.1111, ""Ta"": 0.1111, ""Ti"": 0.1111, ""V"": 0.1111, ""W"": 0.1111, ""Zr"": 0.1111}, ""B"": {""Al"": 1.0}, ""C"": {""C"": 1.0}}",A,0.21683121968323626,Cr
389,"{""A"": {""Cr"": 0.1667, ""Hf"": 0.1667, ""Nb"": 0.1667, ""Ti"": 0.1667, ""V"": 0.1667, ""W"": 0.1667}, ""B"": {""Al"": 1.0}, ""C"": {""C"": 1.0}}",A,0.21574597844149523,Hf
678,"{""A"": {""Ca"": 0.2, ""Ce"": 0.2, ""La"": 0.2, ""Nd"": 0.2, ""Y"": 0.2}, ""B"": {""Sn"": 1.0}, ""C"": {""O"": 1.0}}",A,0.21561595691941482,Ca
506,"{""A"": {""Ba"": 1.0}, ""B"": {""Co"": 0.2, ""Ga"": 0.2, ""Zn"": 0.2, ""Y"": 0.2, ""Zr"": 0.2}, ""C"": {""O"": 1.0}}",B,0.2153629730680623,Co
504,"{""A"": {""Ba"": 0.95, ""K"": 0.05}, ""B"": {""Co"": 0.2, ""Ga"": 0.2, ""Zn"": 0.2, ""Zr"": 0.2, ""Y"": 0.2}, ""C"": {""O"": 1.0}}",B,0.2153629730680623,Co
480,"{""A"": {""Co"": 0.2, ""Cu"": 0.2, ""Fe"": 0.2, ""Mg"": 0.2, ""Mn"": 0.2}, ""B"": {""O"": 1.0}}",A,0.21528652268676285,Mg
505,"{""A"": {""Ba"": 1.0}, ""B"": {""Co"": 0.2, ""Fe"": 0.2, ""Pr"": 0.2, ""Sn"": 0.2, ""Zr"": 0.2}, ""C"": {""O"": 1.0}}",B,0.2150797526379905,Zr
398,"{""A"": {""Hf"": 0.1429, ""Mo"": 0.1429, ""Nb"": 0.1429, ""Ta"": 0.1429, ""Ti"": 0.1429, ""V"": 0.1429, ""W"": 0.1429}, ""B"": {""Al"": 1.0}, ""C"": {""C"": 1.0}}",A,0.2149313041962756,Hf
401,"{""A"": {""Cr"": 0.125, ""Hf"": 0.125, ""Mo"": 0.125, ""Nb"": 0.125, ""Ti"": 0.125, ""V"": 0.125, ""W"": 0.125, ""Zr"": 0.125}, ""B"": {""Al"": 1.0}, ""C"": {""C"": 1.0}}",A,0.21341927537951133,Hf
188,"{""A"": {""Co"": 0.1429, ""Cu"": 0.1429, ""Fe"": 0.1429, ""Mg"": 0.1429, ""Mn"": 0.1429, ""Ni"": 0.1429, ""Zn"": 0.1429}, ""B"": {""F"": 1.0}}",A,0.21340101573738124,Mg
393,"{""A"": {""Hf"": 0.1667, ""Mo"": 0.1667, ""Nb"": 0.1667, ""Ti"": 0.1667, ""V"": 0.1667, ""W"": 0.1667}, ""B"": {""Al"": 1.0}, ""C"": {""C"": 1.0}}",A,0.21269447216493786,Hf
558,"{""A"": {""Er"": 0.2, ""Ho"": 0.2, ""Lu"": 0.2, ""Sc"": 0.2, ""Yb"": 0.2}, ""B"": {""Si"": 1.0}, ""C"": {""O"": 1.0}}",A,0.21092025199222209,Sc
404,"{""A"": {""Co"": 0.2, ""Cu"": 0.2, ""Fe"": 0.2, ""Mg"": 0.2, ""Ni"": 0.2}, ""B"": {""Fe"": 1.0}, ""C"": {""O"": 1.0}}",A,0.21089261904829792,Mg
482,"{""A"": {""Co"": 0.2, ""Cu"": 0.2, ""Fe"": 0.2, ""Mg"": 0.2, ""Ni"": 0.2}, ""B"": {""O"": 1.0}}",A,0.21089261904829792,Mg
284,"{""A"": {""Cr"": 0.2, ""Fe"": 0.2, ""Mn"": 0.2, ""Ni"": 0.2, ""Ti"": 0.2}, ""B"": {""S"": 1.0}}",A,0.21077878309080045,Ti
282,"{""A"": {""Co"": 0.2, ""Cu"": 0.2, ""Ga"": 0.2, ""In"": 0.2, ""Zn"": 0.2}, ""B"": {""S"": 1.0}}",A,0.20976704126259071,Co
380,"{""A"": {""Cr"": 0.2, ""Hf"": 0.2, ""Ti"": 0.2, ""V"": 0.2, ""W"": 0.2}, ""B"": {""Al"": 1.0}, ""C"": {""C"": 1.0}}",A,0.20956887219488862,Hf
19,"{""A"": {""Cr"": 0.125, ""Hf"": 0.125, ""Mo"": 0.125, ""Nb"": 0.125, ""Ta"": 0.125, ""Ti"": 0.125, ""V"": 0.125, ""Zr"": 0.125}, ""B"": {""C"": 1.0}}",A,0.20952227400039292,Cr
103,"{""A"": {""Eu"": 0.5, ""Gd"": 0.5}, ""B"": {""Hf"": 0.3333, ""Sn"": 0.3333, ""Zr"": 0.3333}, ""C"": {""O"": 1.0}}",B,0.20949510022326445,Sn
102,"{""A"": {""La"": 0.5, ""Pr"": 0.5}, ""B"": {""Hf"": 0.3333, ""Sn"": 0.3333, ""Zr"": 0.3333}, ""C"": {""O"": 1.0}}",B,0.20949510022326445,Sn
141,"{""A"": {""Co"": 0.1667, ""Cr"": 0.1667, ""Cu"": 0.1667, ""Mg"": 0.1667, ""Ni"": 0.1667, ""Zn"": 0.1667}, ""B"": {""O"": 1.0}}",A,0.20841167332115218,Mg
253,"{""A"": {""Cr"": 0.25, ""Hf"": 0.25, ""Ta"": 0.25, ""Ti"": 0.25}, ""B"": {""B"": 1.0}}",A,0.20815977907280325,Cr
59,"{""A"": {""Ca"": 0.2, ""Ce"": 0.2, ""K"": 0.2, ""La"": 0.2, ""Na"": 0.2}, ""B"": {""Ti"": 1.0}, ""C"": {""O"": 1.0}}",A,0.20645124856628216,Ce
289,"{""A"": {""Ag"": 0.25, ""Bi"": 0.25, ""In"": 0.25, ""Pb"": 0.25}, ""B"": {""Se"": 0.25, ""Te"": 0.75}}",A,0.2061666548166763,Pb
290,"{""A"": {""Ag"": 0.25, ""Bi"": 0.25, ""In"": 0.25, ""Pb"": 0.25}, ""B"": {""Se"": 0.5, ""Te"": 0.5}}",A,0.2061666548166763,Pb
234,"{""A"": {""Er"": 0.2, ""Lu"": 0.2, ""Sc"": 0.2, ""Tm"": 0.2, ""Yb"": 0.2}, ""B"": {""Si"": 1.0}, ""C"": {""O"": 1.0}}",A,0.20441671348866075,Sc
316,"{""A"": {""Ag"": 0.3333, ""Sb"": 0.3333, ""Sn"": 0.3333}, ""B"": {""Se"": 0.5, ""Te"": 0.5}}",A,0.20403809232359393,Ag
645,"{""A"": {""Bi"": 0.2, ""K"": 0.2, ""La"": 0.2, ""Na"": 0.2, ""Sr"": 0.2}, ""B"": {""Nb"": 0.05, ""Ti"": 0.95}, ""C"": {""O"": 1.0}}",A,0.20396439853453208,Bi
679,"{""A"": {""Ca"": 0.2, ""Ce"": 0.2, ""La"": 0.2, ""Mg"": 0.2, ""Y"": 0.2}, ""B"": {""Al"": 0.5, ""Sn"": 0.5}, ""C"": {""O"": 1.0}}",A,0.20279399720666247,Mg
513,"{""A"": {""Er"": 0.25, ""Ho"": 0.25, ""Sc"": 0.25, ""Yb"": 0.25}, ""B"": {""Hf"": 1.0}, ""C"": {""O"": 1.0}}",A,0.20257720618012087,Sc
408,"{""A"": {""Cd"": 0.2, ""Fe"": 0.2, ""Mg"": 0.2, ""Ni"": 0.2, ""Zn"": 0.2}, ""B"": {""Fe"": 1.0}, ""C"": {""O"": 1.0}}",A,0.2023336439705844,Fe
18,"{""A"": {""Hf"": 0.125, ""Mo"": 0.125, ""Nb"": 0.125, ""Ta"": 0.125, ""Ti"": 0.125, ""V"": 0.125, ""W"": 0.125, ""Zr"": 0.125}, ""B"": {""C"": 1.0}}",A,0.20172683369133748,Hf
473,"{""A"": {""Ba"": 0.2, ""Ca"": 0.2, ""Ce"": 0.2, ""La"": 0.2, ""Sr"": 0.2}, ""B"": {""Co"": 1.0}, ""C"": {""O"": 1.0}}",A,0.2012451608464112,Ce
254,"{""A"": {""Cr"": 0.25, ""Ta"": 0.25, ""Ti"": 0.25, ""Zr"": 0.25}, ""B"": {""B"": 1.0}}",A,0.19983022920589177,Cr
75,"{""A"": {""Cu"": 0.2, ""Fe"": 0.2, ""Mg"": 0.2, ""Ti"": 0.2, ""Zn"": 0.2}, ""B"": {""O"": 1.0}}",A,0.1968208261411455,Ti
300,"{""A"": {""Al"": 0.1667, ""Cr"": 0.1667, ""Fe"": 0.1667, ""Mg"": 0.1667, ""Mn"": 0.1667, ""Ni"": 0.1667}, ""B"": {""O"": 1.0}}",A,0.1963831304805771,Mg
214,"{""A"": {""Cr"": 0.2, ""Mo"": 0.2, ""Nb"": 0.2, ""Ta"": 0.2, ""W"": 0.2}, ""B"": {""Si"": 1.0}}",A,0.19616537763309772,Cr
564,"{""A"": {""Dy"": 0.2, ""Er"": 0.2, ""Ho"": 0.2, ""Lu"": 0.2, ""Tm"": 0.2}, ""B"": {""Hf"": 1.0}, ""C"": {""O"": 1.0}}",A,0.1958189066313677,Lu
82,"{""A"": {""Cr"": 0.2, ""Fe"": 0.2, ""Mg"": 0.2, ""Mn"": 0.2, ""Zn"": 0.2}, ""B"": {""O"": 1.0}}",A,0.1950679552310387,Mg
671,"{""A"": {""Co"": 0.2, ""Cr"": 0.2, ""Fe"": 0.2, ""Ni"": 0.2, ""Zn"": 0.2}, ""B"": {""O"": 1.0}}",A,0.19447132938031264,Zn
278,"{""A"": {""Co"": 0.2, ""Cr"": 0.2, ""Fe"": 0.2, ""Ni"": 0.2, ""Zn"": 0.2}, ""B"": {""S"": 1.0}}",A,0.19447132938031264,Zn
554,"{""A"": {""Gd"": 0.2, ""Lu"": 0.2, ""Sc"": 0.2, ""Tm"": 0.2, ""Yb"": 0.2}, ""B"": {""Si"": 1.0}, ""C"": {""O"": 1.0}}",A,0.19435079202573613,Sc
135,"{""A"": {""Co"": 0.25, ""Cu"": 0.25, ""Mg"": 0.25, ""Ni"": 0.25}, ""B"": {""O"": 1.0}}",A,0.19418095211783748,Mg
384,"{""A"": {""Hf"": 0.2, ""Nb"": 0.2, ""Ti"": 0.2, ""V"": 0.2, ""W"": 0.2}, ""B"": {""Al"": 1.0}, ""C"": {""C"": 1.0}}",A,0.19375634067992098,Hf
474,"{""A"": {""La"": 0.2, ""Nd"": 0.2, ""Pr"": 0.2, ""Sm"": 0.2, ""Sr"": 0.2}, ""B"": {""Co"": 0.2308, ""Fe"": 0.7692}, ""C"": {""O"": 1.0}}",A,0.19334917973933718,Sr
479,"{""A"": {""La"": 0.2, ""Nd"": 0.2, ""Pr"": 0.2, ""Sm"": 0.2, ""Sr"": 0.2}, ""B"": {""Mn"": 1.0}, ""C"": {""O"": 1.0}}",A,0.19334917973933718,Sr
223,"{""A"": {""Dy"": 0.1667, ""Er"": 0.1667, ""Nd"": 0.1667, ""Sc"": 0.1667, ""Y"": 0.1667, ""Yb"": 0.1667}, ""B"": {""Si"": 1.0}, ""C"": {""O"": 1.0}}",A,0.19267760593441063,Sc
345,"{""A"": {""K"": 1.0}, ""B"": {""Co"": 0.2, ""Mg"": 0.2, ""Mn"": 0.2, ""Ni"": 0.2, ""Zn"": 0.2}, ""C"": {""F"": 1.0}}",B,0.19179310566869368,Mg
87,"{""A"": {""Co"": 0.2, ""Mg"": 0.2, ""Mn"": 0.2, ""Ni"": 0.2, ""Zn"": 0.2}, ""B"": {""Al"": 0.2, ""Co"": 0.2, ""Cr"": 0.2, ""Fe"": 0.2, ""Mn"": 0.2}, ""C"": {""O"": 1.0}}",A,0.19179310566869368,Mg
675,"{""A"": {""Co"": 0.2, ""Mg"": 0.2, ""Mn"": 0.2, ""Ni"": 0.2, ""Zn"": 0.2}, ""B"": {""O"": 1.0}}",A,0.19179310566869368,Mg
667,"{""A"": {""Co"": 0.2, ""Mg"": 0.2, ""Mn"": 0.2, ""Ni"": 0.2, ""Zn"": 0.2}, ""B"": {""Cr"": 1.0}, ""C"": {""O"": 1.0}}",A,0.19179310566869368,Mg
625,"{""A"": {""Dy"": 0.0833, ""Er"": 0.0833, ""Eu"": 0.0833, ""Gd"": 0.0833, ""Ho"": 0.0833, ""La"": 0.0833, ""Lu"": 0.0833, ""Nd"": 0.0833, ""Sm"": 0.0833, ""Tm"": 0.0833, ""Y"": 0.0833, ""Yb"": 0.0833}, ""B"": {""Zr"": 1.0}, ""C"": {""O"": 1.0}}",A,0.1916838519617995,Lu
257,"{""A"": {""Hf"": 0.2, ""Ta"": 0.2, ""Ti"": 0.2, ""V"": 0.2, ""Zr"": 0.2}, ""B"": {""B"": 1.0}}",A,0.19166290493187366,V
377,"{""A"": {""Cr"": 0.2, ""Ti"": 0.2, ""V"": 0.2, ""W"": 0.2, ""Zr"": 0.2}, ""B"": {""Al"": 1.0}, ""C"": {""C"": 1.0}}",A,0.19136039741654298,W
81,"{""A"": {""Co"": 0.2, ""Cr"": 0.2, ""Fe"": 0.2, ""Mn"": 0.2, ""Zn"": 0.2}, ""B"": {""O"": 1.0}}",A,0.19133146740746987,Zn
244,"{""A"": {""Cr"": 0.2, ""Mo"": 0.2, ""Ta"": 0.2, ""Ti"": 0.2, ""W"": 0.2}, ""B"": {""B"": 1.0}}",A,0.1909513144287852,Cr
390,"{""A"": {""Cr"": 0.1667, ""Nb"": 0.1667, ""Ta"": 0.1667, ""Ti"": 0.1667, ""V"": 0.1667, ""W"": 0.1667}, ""B"": {""Al"": 1.0}, ""C"": {""C"": 1.0}}",A,0.19090690206613803,Cr
551,"{""A"": {""Er"": 0.1667, ""Eu"": 0.1667, ""Gd"": 0.1667, ""Sc"": 0.1667, ""Y"": 0.1667, ""Yb"": 0.1667}, ""B"": {""Si"": 1.0}, ""C"": {""O"": 1.0}}",A,0.19033733344630832,Sc
306,"{""A"": {""Fe"": 0.2, ""Mg"": 0.2, ""Ni"": 0.2, ""Ti"": 0.2, ""Zn"": 0.2}, ""B"": {""O"": 1.0}}",A,0.19031734660706412,Ti
534,"{""A"": {""Er"": 0.2, ""Gd"": 0.2, ""Lu"": 0.2, ""Sc"": 0.2, ""Yb"": 0.2}, ""B"": {""Ce"": 1.0}, ""C"": {""O"": 1.0}}",A,0.19026901969981502,Sc
397,"{""A"": {""Cr"": 0.1429, ""Mo"": 0.1429, ""Nb"": 0.1429, ""Ta"": 0.1429, ""Ti"": 0.1429, ""V"": 0.1429, ""W"": 0.1429}, ""B"": {""Al"": 1.0}, ""C"": {""C"": 1.0}}",A,0.19018350229859216,Cr
32,"{""A"": {""Ce"": 0.2, ""Gd"": 0.2, ""La"": 0.2, ""Y"": 0.2, ""Zr"": 0.2}, ""B"": {""O"": 0.875, ""X"": 0.125}}",A,0.18867963272988053,Zr
286,"{""A"": {""Ge"": 0.3333, ""Pb"": 0.3333, ""Sn"": 0.3333}, ""B"": {""S"": 0.3333, ""Se"": 0.3333, ""Te"": 0.3333}}",A,0.18864846629227583,Pb
604,"{""A"": {""Dy"": 0.1, ""Er"": 0.1, ""Gd"": 0.1, ""Ho"": 0.1, ""Lu"": 0.1, ""Nd"": 0.1, ""Sm"": 0.1, ""Tm"": 0.1, ""Y"": 0.1, ""Yb"": 0.1}, ""B"": {""Ta"": 1.0}, ""C"": {""O"": 1.0}}",A,0.18831034676568703,Lu
288,"{""A"": {""Ag"": 0.3333, ""Bi"": 0.3333, ""Pb"": 0.3333}, ""B"": {""S"": 0.3333, ""Se"": 0.3333, ""Te"": 0.3333}}",A,0.18800998050895446,Ag
