,Sorted Json formula,Site,Distance,Element
23,"{""A"": {""Ce"": 0.2, ""La"": 0.2, ""Pr"": 0.2, ""Sm"": 0.2, ""Y"": 0.2}, ""B"": {""O"": 0.875, ""X"": 0.125}}",A,0.12880957428716733,Y
46,"{""A"": {""Gd"": 0.2, ""La"": 0.2, ""Nd"": 0.2, ""Sm"": 0.2, ""Y"": 0.2}, ""B"": {""Fe"": 1.0}, ""C"": {""O"": 1.0}}",A,0.12857225681481865,Nd
529,"{""A"": {""Gd"": 0.2, ""La"": 0.2, ""Nd"": 0.2, ""Sm"": 0.2, ""Y"": 0.2}, ""B"": {""Ce"": 1.0}, ""C"": {""O"": 1.0}}",A,0.12857225681481865,Nd
44,"{""A"": {""Gd"": 0.2, ""La"": 0.2, ""Nd"": 0.2, ""Sm"": 0.2, ""Y"": 0.2}, ""B"": {""Co"": 1.0}, ""C"": {""O"": 1.0}}",A,0.12857225681481865,Nd
45,"{""A"": {""Gd"": 0.2, ""La"": 0.2, ""Nd"": 0.2, ""Sm"": 0.2, ""Y"": 0.2}, ""B"": {""Cr"": 1.0}, ""C"": {""O"": 1.0}}",A,0.12857225681481865,Nd
47,"{""A"": {""Gd"": 0.2, ""La"": 0.2, ""Nd"": 0.2, ""Sm"": 0.2, ""Y"": 0.2}, ""B"": {""Mn"": 1.0}, ""C"": {""O"": 1.0}}",A,0.12857225681481865,Nd
48,"{""A"": {""Gd"": 0.2, ""La"": 0.2, ""Nd"": 0.2, ""Sm"": 0.2, ""Y"": 0.2}, ""B"": {""Ni"": 1.0}, ""C"": {""O"": 1.0}}",A,0.12857225681481865,Nd
95,"{""A"": {""Gd"": 0.2, ""La"": 0.2, ""Nd"": 0.2, ""Sm"": 0.2, ""Y"": 0.2}, ""B"": {""Zr"": 1.0}, ""C"": {""O"": 1.0}}",A,0.12857225681481865,Nd
54,"{""A"": {""Gd"": 0.2, ""La"": 0.2, ""Nd"": 0.2, ""Sm"": 0.2, ""Y"": 0.2}, ""B"": {""Co"": 0.2, ""Cr"": 0.2, ""Fe"": 0.2, ""Mn"": 0.2, ""Ni"": 0.2}, ""C"": {""O"": 1.0}}",A,0.12857225681481865,Nd
271,"{""A"": {""Gd"": 0.2, ""La"": 0.2, ""Nd"": 0.2, ""Sm"": 0.2, ""Y"": 0.2}, ""B"": {""B"": 1.0}}",A,0.12857225681481865,Nd
230,"{""A"": {""Dy"": 0.2, ""Er"": 0.2, ""Ho"": 0.2, ""Tm"": 0.2, ""Yb"": 0.2}, ""B"": {""Si"": 1.0}, ""C"": {""O"": 1.0}}",A,0.12772601647194515,Dy
582,"{""A"": {""Eu"": 0.2, ""Gd"": 0.2, ""La"": 0.2, ""Nd"": 0.2, ""Sm"": 0.2}, ""B"": {""Al"": 0.5, ""Mg"": 0.5}, ""C"": {""O"": 1.0}}",A,0.1271011159442511,Nd
364,"{""A"": {""Eu"": 0.2, ""Gd"": 0.2, ""La"": 0.2, ""Nd"": 0.2, ""Sm"": 0.2}, ""B"": {""Ce"": 1.0}, ""C"": {""O"": 1.0}}",A,0.1271011159442511,Nd
572,"{""A"": {""Eu"": 0.2, ""Gd"": 0.2, ""La"": 0.2, ""Nd"": 0.2, ""Sm"": 0.2}, ""B"": {""Al"": 0.5, ""Co"": 0.1, ""Cu"": 0.1, ""Mg"": 0.1, ""Ni"": 0.1, ""Zn"": 0.1}, ""C"": {""O"": 1.0}}",A,0.1271011159442511,Nd
89,"{""A"": {""Eu"": 0.2, ""Gd"": 0.2, ""La"": 0.2, ""Nd"": 0.2, ""Sm"": 0.2}, ""B"": {""Zr"": 1.0}, ""C"": {""O"": 1.0}}",A,0.1271011159442511,Nd
597,"{""A"": {""Eu"": 0.2, ""Gd"": 0.2, ""La"": 0.2, ""Nd"": 0.2, ""Sm"": 0.2}, ""B"": {""Hf"": 1.0}, ""C"": {""O"": 1.0}}",A,0.1271011159442511,Nd
0,"{""A"": {""Hf"": 0.25, ""Nb"": 0.25, ""Ta"": 0.25, ""Zr"": 0.25}, ""B"": {""C"": 1.0}}",A,0.12613863147183035,Hf
248,"{""A"": {""Hf"": 0.25, ""Nb"": 0.25, ""Ta"": 0.25, ""Zr"": 0.25}, ""B"": {""B"": 1.0}}",A,0.12613863147183035,Hf
632,"{""A"": {""Gd"": 0.2, ""La"": 0.2, ""Pr"": 0.2, ""Sm"": 0.2, ""Y"": 0.2}, ""B"": {""Ce"": 0.5, ""Zr"": 0.5}, ""C"": {""O"": 1.0}}",A,0.12586661724720938,Y
