structure_key,supercell_filename,relaxed_filename,n_atoms_supercell,n_atoms_relaxed,wasserstein_distance_A,prototype,r_first_peak_A,r_centroid_A,norm_relative_first_peak,norm_relative_centroid,norm_minmax,norm_zscore,norm_robust_zscore,norm_percentile,norm_by_prototype_minmax
row000_AlB2,row000_AlB2.vasp,row000_AlB2_relaxed.vasp,375,375,0.1341803100540007,AlB2,2.35,3.6931278966833987,0.05709800427829816,0.03633242980144307,0.270304072014854,0.07104900874301702,0.4478185587373136,66.36904761904762,0.8201064660902347
row001_AlB2,row001_AlB2.vasp,row001_AlB2_relaxed.vasp,375,375,0.1254611544908898,AlB2,2.35,3.6858958590582978,0.05338772531527225,0.03403817125830126,0.250900642517767,-0.03174195808138598,0.28390558943298144,61.16071428571429,0.6573870213549898
row002_AlB2,row002_AlB2.vasp,row002_AlB2_relaxed.vasp,375,375,0.1279592058088876,AlB2,2.35,3.688222755352459,0.054450725876122374,0.03469400150063859,0.25645975455310516,-0.0022921898904910824,0.33086690421213044,62.351190476190474,0.7040063895314786
row003_AlB2,row003_AlB2.vasp,row003_AlB2_relaxed.vasp,375,375,0.1185053514353674,AlB2,2.35,3.6748104929748475,0.05042780912143294,0.0322480170506519,0.23542134143103463,-0.11374459193073332,0.1531422001948578,56.547619047619044,0.5275757795793593
row004_AlB2,row004_AlB2.vasp,row004_AlB2_relaxed.vasp,375,375,0.1202390614951787,AlB2,2.35,3.6793478442205374,0.051165558083054764,0.03267944934427669,0.23927950414764715,-0.09330571663469339,0.1857345265686138,57.58928571428571,0.5599307864630475
row005_AlB2,row005_AlB2.vasp,row005_AlB2_relaxed.vasp,375,375,0.1130077356207542,AlB2,2.35,3.6725865302427083,0.04808839813649114,0.030770612125859406,0.22318706024533935,-0.17855651559958874,0.04979153443999743,51.78571428571429,0.42497765683151945
row006_AlB2,row006_AlB2.vasp,row006_AlB2_relaxed.vasp,375,375,0.119443216653859,AlB2,2.35,3.680171065586463,0.05082690070376979,0.032455887111004396,0.2375084474028289,-0.10268800831298042,0.17077329665339663,56.99404761904761,0.5450784960390943
row007_AlB2,row007_AlB2.vasp,row007_AlB2_relaxed.vasp,375,375,0.1259848566887199,AlB2,2.35,3.678719504262419,0.05361057731434889,0.03424693199433801,0.2520660786198659,-0.02556798230433101,0.29375076098155617,61.30952380952381,0.6671605057504371
row008_AlB2,row008_AlB2.vasp,row008_AlB2_relaxed.vasp,375,375,0.1177428218962364,AlB2,2.35,3.682174445739528,0.050103328466483577,0.03197643773571649,0.23372442387464049,-0.1227341262947098,0.13880727062094023,55.952380952380956,0.5133452291202563
row009_AlB2,row009_AlB2.vasp,row009_AlB2_relaxed.vasp,375,375,0.0902357411194862,AlB2,2.35,3.6651951169682655,0.03839818771041966,0.02461962821617158,0.1725107319455197,-0.4470177575584568,-0.37830327458907803,32.142857142857146,0.0
row010_AlB2,row010_AlB2.vasp,row010_AlB2_relaxed.vasp,375,375,0.1287071366631507,AlB2,2.35,3.701758787118133,0.054768994324744975,0.03476918515356611,0.25812418449638885,0.006525239167980363,0.34492739049078697,63.095238095238095,0.7179644950412545
row011_AlB2,row011_AlB2.vasp,row011_AlB2_relaxed.vasp,375,375,0.1283159717397606,AlB2,2.35,3.6986835656797328,0.05460254116585557,0.03469233565434222,0.2572536941194486,0.0019137581166298488,0.3375738109363813,62.94642857142857,0.710664460230173
row012_AlB2,row012_AlB2.vasp,row012_AlB2_relaxed.vasp,375,375,0.1282445950658185,AlB2,2.35,3.684949361024488,0.05457216811311426,0.034802267955770225,0.2570948539369851,0.0010722916156469336,0.3362319880407774,62.797619047619044,0.7093324077548115
row013_AlB2,row013_AlB2.vasp,row013_AlB2_relaxed.vasp,375,375,0.1438197216775414,AlB2,2.35,3.7112333487837104,0.06119988156491123,0.03875254077587865,0.2917554204254839,0.18468896312050434,0.629031586779391,71.875,1.0
row014_AlB2,row014_AlB2.vasp,row014_AlB2_relaxed.vasp,375,375,0.0965685583859284,AlB2,2.35,3.6633597772450757,0.04109300356848017,0.026360653678015215,0.18660365326776582,-0.372359563329885,-0.2592515069390092,37.202380952380956,0.11818489780879465
row015_AlB2,row015_AlB2.vasp,row015_AlB2_relaxed.vasp,375,375,0.1339440335899459,AlB2,2.35,3.6950985457234196,0.05699746110210463,0.03624910998516349,0.2697782672303282,0.06826352269425347,0.4433767551108472,66.22023809523809,0.8156970052477576
row016_AlB2,row016_AlB2.vasp,row016_AlB2_relaxed.vasp,375,375,0.1092236172156217,AlB2,2.35,3.6728490628118196,0.046478134985370935,0.02973811756152143,0.21476596095984607,-0.22316785285881366,-0.021346786180025754,49.25595238095239,0.3543573265439511
row017_AlB2,row017_AlB2.vasp,row017_AlB2_relaxed.vasp,375,375,0.1160555490739967,AlB2,2.35,3.681376685076375,0.04938534003148796,0.031525040494895455,0.22996960163162522,-0.1426255485132024,0.10708792620530581,53.86904761904761,0.4818568476176608
row018_AlB2,row018_AlB2.vasp,row018_AlB2_relaxed.vasp,375,375,0.1006501354261132,AlB2,2.35,3.6655234296477013,0.04282984486217583,0.02745859830332249,0.19568671088302628,-0.32424145750047245,-0.1825212080862636,40.327380952380956,0.1943564886028501
row019_AlB2,row019_AlB2.vasp,row019_AlB2_relaxed.vasp,375,375,0.1044550544131062,AlB2,2.35,3.6697254112068998,0.04444895932472604,0.028463997359070254,0.20415409935566697,-0.27938490017326345,-0.11099185359703916,43.452380952380956,0.26536500546491076
row020_AlB2,row020_AlB2.vasp,row020_AlB2_relaxed.vasp,375,375,0.1076021281237282,AlB2,2.35,3.6718309753649696,0.045788139627118384,0.029304760716288923,0.2111575324776244,-0.24228374432841007,-0.0518294504498693,47.023809523809526,0.324096620358887
row021_AlB2,row021_AlB2.vasp,row021_AlB2_relaxed.vasp,375,375,0.1328371409053264,AlB2,2.35,3.6988454255671233,0.05652644293843676,0.035913136566110816,0.26731501101114535,0.05521425795762314,0.4225680809996937,65.17857142857143,0.7950398485174873
row022_AlB2,row022_AlB2.vasp,row022_AlB2_relaxed.vasp,375,375,0.1138008991612731,AlB2,2.35,3.675475810667739,0.04842591453671196,0.0309622223144487,0.22495215007849145,-0.16920583403533918,0.06470235810054065,52.38095238095239,0.4397799080315691
row023_AlB2,row023_AlB2.vasp,row023_AlB2_relaxed.vasp,375,375,0.122148630192496,AlB2,2.35,3.6890423765695846,0.051978140507445106,0.03311120277942732,0.24352901905996288,-0.07079362688080576,0.22163285101096478,58.48214285714286,0.5955677189460383
row024_AlB2,row024_AlB2.vasp,row024_AlB2_relaxed.vasp,375,375,0.130761280232021,AlB2,2.35,3.697963246102606,0.05564309797107276,0.0353603515042596,0.26269543335494794,0.030741736042245553,0.3835436038745056,64.43452380952381,0.7562995262852426
row025_CoCl2,row025_CoCl2.vasp,row025_CoCl2_relaxed.vasp,378,378,0.0513181116786178,CoCl2,2.45,3.9020218469153822,0.020946168032088895,0.013151672054113609,0.08590423965577505,-0.9058214487858012,-1.1099227707392814,12.202380952380953,0.0
row026_CoCl2,row026_CoCl2.vasp,row026_CoCl2_relaxed.vasp,378,378,0.0586887900498621,CoCl2,2.45,3.902005908732556,0.023954608183617183,0.015040671752576949,0.1023067957389832,-0.8189278097805118,-0.9713600660285951,15.178571428571427,0.021386659924943905
row027_CoCl2,row027_CoCl2.vasp,row027_CoCl2_relaxed.vasp,378,378,0.0603321218392609,CoCl2,2.45,3.9040765995702427,0.02462535585275955,0.01545362143916495,0.10596383251107916,-0.7995544126409717,-0.940466776970629,16.517857142857142,0.026154929052089194
row028_CoCl2,row028_CoCl2.vasp,row028_CoCl2_relaxed.vasp,378,378,0.3959571715931421,CoCl2,2.45,3.883562950660241,0.1616151720788335,0.1019571915335699,0.8528569167345069,3.1571617056778147,5.369008731279708,97.02380952380952,1.0
row029_Cu2S,row029_Cu2S.vasp,row029_Cu2S_relaxed.vasp,432,432,0.2544617975226325,Cu2S,2.45,3.77494651391998,0.10386195817250304,0.06740805375236808,0.5379760208646407,1.4890590784666373,2.709011815425914,92.55952380952381,1.0
row030_Cu2S,row030_Cu2S.vasp,row030_Cu2S_relaxed.vasp,432,432,0.247983941006636,Cu2S,2.45,3.780344565500271,0.10121793510474938,0.0655982375971115,0.5235603321788963,1.412691002520592,2.58723342890914,92.41071428571429,0.6459788624417859
row031_Cu2S,row031_Cu2S.vasp,row031_Cu2S_relaxed.vasp,432,432,0.2361638603975328,Cu2S,2.45,3.773635845505851,0.09639341240715624,0.06258257819942754,0.4972561678491581,1.2733429309146072,2.365025613481266,92.26190476190477,0.0
row032_fluorite,row032_fluorite.vasp,row032_fluorite_relaxed.vasp,396,396,0.1564216446920019,fluorite,2.35,3.8263092298512995,0.06656240199659655,0.04088055494095046,0.31979948076698334,0.33325425033518946,0.8659373978173388,76.78571428571429,0.5462903491624207
row033_fluorite,row033_fluorite.vasp,row033_fluorite_relaxed.vasp,396,396,0.166942574226852,fluorite,2.35,3.8409820945321167,0.07103939328802213,0.043463512747040765,0.3432125410106807,0.45728650448536157,1.063722239183747,79.91071428571429,0.7262107919323912
row034_fluorite,row034_fluorite.vasp,row034_fluorite_relaxed.vasp,396,396,0.1706785345447578,fluorite,2.35,3.8414435922795978,0.07262916363606714,0.04443083191115488,0.3515264702791403,0.5013301014042959,1.1339552272843296,81.84523809523809,0.7901001690394329
row035_fluorite,row035_fluorite.vasp,row035_fluorite_relaxed.vasp,396,396,0.1630418781960117,fluorite,2.35,3.8418479656318834,0.06937952263660073,0.04243839934701726,0.33453201227413726,0.41130082234034343,0.9903923548686044,78.57142857142857,0.6595042376631015
row036_fluorite,row036_fluorite.vasp,row036_fluorite_relaxed.vasp,396,396,0.1691917375208178,fluorite,2.35,3.8410532139784785,0.07199648405141182,0.04404826699747091,0.34821778275525284,0.483802107729194,1.1060046633584006,81.10119047619048,0.7646741667104314
row037_fluorite,row037_fluorite.vasp,row037_fluorite_relaxed.vasp,396,396,0.1600945158280656,fluorite,2.35,3.842326035042015,0.06812532588428323,0.041666041446770406,0.3279730126674821,0.3765540827977188,0.9349843610727552,77.67857142857143,0.6091008260170252
row038_fluorite,row038_fluorite.vasp,row038_fluorite_relaxed.vasp,396,396,0.1635768393498055,fluorite,2.35,3.839062870203543,0.06960716568076829,0.04260853361360368,0.3357225038253185,0.4176075310363793,1.0004491855497541,79.01785714285714,0.6686527114112135
row039_fluorite,row039_fluorite.vasp,row039_fluorite_relaxed.vasp,396,396,0.1700756808845719,fluorite,2.35,3.8398239505079306,0.07237263016364762,0.044292572544133005,0.350184892140316,0.4942230013949427,1.1226220731982706,81.25,0.779790652460422
row040_fluorite,row040_fluorite.vasp,row040_fluorite_relaxed.vasp,396,396,0.1616538625894982,fluorite,2.35,3.840593880592022,0.0687888776976588,0.04209085042977247,0.33144315088533643,0.3949373723332676,0.9642988005263757,77.97619047619048,0.6357675153831631
row041_fluorite,row041_fluorite.vasp,row041_fluorite_relaxed.vasp,396,396,0.1346887945894841,fluorite,2.35,3.839087981279562,0.05731438067637621,0.035083539435997124,0.27143564304408924,0.0770435820293031,0.4573776507219831,66.96428571428571,0.174632692854953
row042_fluorite,row042_fluorite.vasp,row042_fluorite_relaxed.vasp,396,396,0.1809441259385852,fluorite,2.35,3.837692732397459,0.07699750039939796,0.04714919576835088,0.3743713062743551,0.6223521495554019,1.3269399211400374,85.86309523809523,0.9656540250704003
row043_fluorite,row043_fluorite.vasp,row043_fluorite_relaxed.vasp,396,396,0.1785879469239655,fluorite,2.35,3.835095269833246,0.07599487103147469,0.04656675632773282,0.3691279139456171,0.5945749276477205,1.282645689238402,84.82142857142857,0.9253605538375159
row044_fluorite,row044_fluorite.vasp,row044_fluorite_relaxed.vasp,396,396,0.178293965691353,fluorite,2.35,3.8404231062924916,0.07586977263461829,0.04642560487650964,0.36847369415573317,0.5911091545106613,1.2771190833178545,84.375,0.9203331241448734
row045_fluorite,row045_fluorite.vasp,row045_fluorite_relaxed.vasp,396,396,0.1829525224080294,fluorite,2.35,3.8363966376581047,0.07785213719490612,0.04768863589655088,0.37884075047855453,0.6460293294573544,1.3646961265964155,86.45833333333334,1.0
row046_fluorite,row046_fluorite.vasp,row046_fluorite_relaxed.vasp,396,396,0.1728222312957559,fluorite,2.35,3.8382592256229606,0.0735413750194706,0.0450262009772689,0.3562970089477136,0.5266023493896054,1.1742549670011864,82.44047619047619,0.8267599401486808
row047_fluorite,row047_fluorite.vasp,row047_fluorite_relaxed.vasp,396,396,0.1786068468914367,fluorite,2.35,3.8349940927783495,0.07600291357082412,0.04657291317026276,0.36916997354458514,0.5947977411891523,1.2830009931168032,84.97023809523809,0.9256837658222068
row048_fluorite,row048_fluorite.vasp,row048_fluorite_relaxed.vasp,396,396,0.1686884066006676,fluorite,2.35,3.8370922993268404,0.07178230068113516,0.043962561606939045,0.3470976804756058,0.47786829091168637,1.0965424551127363,80.65476190476191,0.7560666076812351
row049_fluorite,row049_fluorite.vasp,row049_fluorite_relaxed.vasp,396,396,0.1450693362726216,fluorite,2.35,3.8277393333505105,0.061731632456434725,0.03789948155786225,0.294536287049398,0.19942079024028006,0.6525233156839902,72.47023809523809,0.352152335927902
row050_fluorite,row050_fluorite.vasp,row050_fluorite_relaxed.vasp,396,396,0.1822615406513544,fluorite,2.35,3.841809653739462,0.07755810240483164,0.04744158536692425,0.3773030538859921,0.637883278809153,1.3517062366177448,86.30952380952381,0.988183387865575
row051_fluorite,row051_fluorite.vasp,row051_fluorite_relaxed.vasp,396,396,0.1691543538610415,fluorite,2.35,3.821360707672236,0.07198057611108148,0.044265476829085076,0.34813458992751145,0.48336138815445706,1.1053018812331086,80.95238095238095,0.7640348615428574
row052_fluorite,row052_fluorite.vasp,row052_fluorite_relaxed.vasp,396,396,0.1821500727462654,fluorite,2.35,3.843055217401439,0.07751066925372996,0.04739720416232529,0.3770549955021353,0.6365691729131114,1.3496107314770212,86.01190476190477,0.9862771537470195
row053_fluorite,row053_fluorite.vasp,row053_fluorite_relaxed.vasp,403,403,0.1520977984057223,fluorite,2.35,3.8441473546442206,0.06472246740669034,0.03956606872053662,0.3101772821532756,0.282280008970902,0.7846526359536875,74.85119047619048,0.47234742085748327
row054_fluorite,row054_fluorite.vasp,row054_fluorite_relaxed.vasp,403,403,0.1540096290899522,fluorite,2.35,3.8414194710416383,0.06553601237870306,0.0400918541312519,0.3144318308447531,0.3048187655069117,0.8205934838937199,76.04166666666666,0.505042005691309
row055_fluorite,row055_fluorite.vasp,row055_fluorite_relaxed.vasp,403,403,0.1544013745436635,fluorite,2.35,3.8405273429890294,0.06570271257177171,0.04020317023013174,0.3153036131219327,0.3094370904862729,0.8279579769417582,76.19047619047619,0.5117413201626578
row056_fluorite,row056_fluorite.vasp,row056_fluorite_relaxed.vasp,432,432,0.1294360660379396,fluorite,2.35,3.816482747674859,0.05507917703742111,0.03391501405758923,0.25974632893798044,0.015118657950214656,0.3586306645486903,63.988095238095234,0.08480476998807712
row057_fluorite,row057_fluorite.vasp,row057_fluorite_relaxed.vasp,432,432,0.1536727455656127,fluorite,2.35,3.843447014186091,0.06539265768749476,0.03998305297260753,0.31368213717706506,0.3008472131101892,0.8142603500960137,75.59523809523809,0.49928089564297196
row058_fluorite,row058_fluorite.vasp,row058_fluorite_relaxed.vasp,432,432,0.1498398424817061,fluorite,2.35,3.828177452601961,0.06376163509859833,0.03914130009304087,0.3051524734705932,0.25566074856242,0.7422049175496644,74.10714285714286,0.43373368161910314
row059_fluorite,row059_fluorite.vasp,row059_fluorite_relaxed.vasp,432,432,0.1449349126995253,fluorite,2.35,3.839976287480719,0.06167443093596821,0.03774369992128579,0.2942371435939978,0.1978360577575818,0.6499962628230531,72.17261904761905,0.3498535325084801
row060_fluorite,row060_fluorite.vasp,row060_fluorite_relaxed.vasp,432,432,0.1351347623595311,fluorite,2.35,3.8297584321986604,0.057504154195545144,0.035285453313030596,0.27242809054906214,0.08230113913146098,0.4657614788201656,67.41071428571429,0.18225927360356498
row061_fluorite,row061_fluorite.vasp,row061_fluorite_relaxed.vasp,432,432,0.1244770686303774,fluorite,2.35,3.8291977053223962,0.052968965374628675,0.03250734963550208,0.24871067807966038,-0.04334344131082414,0.2654055828349292,60.11904761904761,0.0
row062_garnet,row062_garnet.vasp,row062_garnet_relaxed.vasp,320,320,0.0898822847391933,garnet,2.05,3.82310683254131,0.04384501694594795,0.02351027284253169,0.17172415738498253,-0.45118468895423053,-0.38494796447837065,31.994047619047617,0.6027675459305365
